City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
105,sao joao da barra,-21.6403,-41.0511,22.41,71,46,2.31,BR,1713667083
106,avarua,-21.2078,-159.775,26.03,83,75,3.6,CK,1713667084
107,zhumysker,49.3333,49.4,18.47,53,1,4.83,KZ,1713667084
108,outjo,-20.1167,16.15,18.87,36,5,3.65,NA,1713667084
109,lorengau,-2.0226,147.2712,29.93,64,53,3.67,PG,1713667084
110,mendefera,14.8872,38.8153,16.59,61,91,2.27,ER,1713667085
111,beau vallon,-20.4189,57.6953,25.13,94,75,3.6,MU,1713667085
112,tiflet,33.8947,-6.3065,11.33,90,51,1.14,MA,1713667086
113,panciu,45.9,27.0833,6.1,73,100,2.36,RO,1713667086
114,weno,7.4515,151.8468,29.97,84,100,2.57,FM,1713667087
115,ewo,-0.8725,14.8206,25.07,74,100,1.28,CG,1713667087
116,chabahar,25.2919,60.643,25.51,63,0,2.34,IR,1713667087
117,sitka,57.0531,-135.33,13.94,41,40,2.57,US,1713667088
118,fada,9.5667,8.3,25.68,52,47,2.17,NG,1713667088
119,mirny,62.5353,113.9611,-0.43,99,100,4.02,RU,1713667088
120,apatity,67.5641,33.4031,-7.41,62,98,2.14,RU,1713667089
121,aasiaat,68.7098,-52.8699,-9.33,88,100,6.17,GL,1713667089
122,new norfolk,-42.7826,147.0587,18.84,48,0,2.0,AU,1713667089
123,suva,-18.1416,178.4415,30.71,62,75,4.63,FJ,1713667090
124,kapuskasing,49.4169,-82.4331,2.05,55,75,3.09,CA,1713667090
125,dunedin,-45.8742,170.5036,15.45,71,47,0.45,NZ,1713666860
126,gornopravdinsk,60.05,69.9,4.37,98,100,2.17,RU,1713667090
127,samalut,28.3121,30.7101,17.74,63,33,6.61,EG,1713667091
128,borujerd,33.8973,48.7516,13.45,60,60,1.0,IR,1713667091
129,westport,41.1415,-73.3579,11.05,56,0,8.75,US,1713667091
130,longyearbyen,78.2186,15.6401,-3.09,63,75,4.63,SJ,1713667092
131,wainwright,52.839,-110.8572,4.57,43,0,3.82,CA,1713667093
132,necochea,-38.5473,-58.7368,15.06,68,100,2.93,AR,1713667093
133,thompson,55.7435,-97.8558,-2.91,43,75,1.54,CA,1713667093
134,woodland,38.6785,-121.7733,26.99,48,0,5.66,US,1713667093
135,saint-pierre,-21.3393,55.4781,22.88,73,100,1.3,RE,1713666979
136,borazjan,29.2666,51.2159,25.93,29,0,0.36,IR,1713667094
137,georgetown,5.4112,100.3354,31.96,74,20,1.54,MY,1713667094
138,kapa'a,22.0752,-159.319,27.99,75,0,6.69,US,1713667095
139,whitehorse,60.7161,-135.0538,15.43,13,0,4.63,CA,1713667095
140,soata,6.3337,-72.6828,16.71,91,80,0.82,CO,1713667095
141,nova vicosa,-17.8919,-39.3719,25.06,81,87,6.95,BR,1713667096
142,nema,57.5067,50.5011,6.83,69,25,1.77,RU,1713667096
143,at taj,24.2049,23.2857,19.99,28,0,5.45,LY,1713667096
144,eggesin,53.6833,14.0833,-0.88,76,6,1.74,DE,1713667097
145,tura,25.5198,90.2201,32.88,43,23,3.7,IN,1713667097
146,uruguaiana,-29.7547,-57.0883,17.58,85,1,3.63,BR,1713666892
147,senador jose porfirio,-2.5908,-51.9542,24.26,98,100,0.77,BR,1713667097
148,hamilton,39.1834,-84.5333,8.81,55,0,5.66,US,1713667098
149,port alfred,-33.5906,26.891,19.54,98,100,1.34,ZA,1713667098
150,tofol,5.3248,163.0078,30.88,70,75,4.12,FM,1713667098
